movie_id,vote_average,vote_count
58574,7,3886
18823,5.6,2233
861,7.1,1710
1911,6.4,510
49040,6,2651
415,4.2,1418
8871,6.2,1386
435,6.2,2392
955,5.9,1928
2133,6.2,597
1979,5.4,2589
87827,7.2,5797
1250,5.2,1712
324668,5.9,2341
9471,5.2,914
70981,6.3,5080
10996,5.4,613
68724,6.4,3439
2789,6.3,1570
97020,5.7,2342
7459,5.7,354
42888,4.9,223
37834,5.9,1547
75612,6.4,4800
1895,7.1,4116
1894,6.4,3992
585,7.5,5996
76170,6.3,4053
1893,6.3,4432
49519,6.8,2399
2395,5,471
12100,5.8,341
290595,6,1523
98566,5.8,2636
49047,7.3,5751
9619,5.7,428
308531,5.8,963
166424,4.4,2278
1593,6.3,2862
254128,6,2968
714,6,925
2024,6.8,1099
163,6.4,2124
787,6.5,2965
262500,6.2,3829
2567,7,1489
38745,4.9,621
40805,5.5,1251
53182,6.1,2397
41513,5.5,1179
13700,5.7,389
262504,5.9,1998
39254,6.6,2692
77931,5.5,695
1639,4.1,434
80274,6.6,2303
1571,6.4,2089
120,8,8705
10204,5.7,672
8489,6.7,447
10588,4.9,366
2048,6.7,3793
1495,6.6,1157
10137,5.8,959
10198,6.7,1247
286217,7.6,7268
1635,6.5,1770
24113,3.7,16
9679,6.1,1485
98,7.9,5439
180,7.1,2608
672,7.4,5815
36557,7.3,3855
869,5.6,1243
280,7.7,4185
11322,6.5,1344
4982,7.4,1502
36955,6.8,1116
18487,6.2,954
39451,5.4,1060
27581,6.1,1383
9268,5.6,543
68718,7.8,10099
10545,6.8,1129
11688,7.2,1490
76163,6.1,2896
2059,6.4,1926
2486,4.9,967
16523,6.4,572
116711,6.4,1121
37710,6,1699
9946,5.5,482
1372,7.3,2281
106646,7.9,6571
414,5.2,1498
563,6.7,1560
83542,6.6,2977
41216,6.5,703
314,4.2,808
184315,5.6,1680
9016,7.2,948
18162,5.3,381
138103,6.1,1795
257088,5.5,783
10214,3.6,338
205775,6.5,1276
11692,4.4,142
22972,6.4,717
227973,6.5,604
29193,7.1,73
1734,6,2206
3131,7.1,1910
76758,7.1,187
9408,5.9,601
9890,5.4,334
855,7.2,1811
77953,5.6,578
18,7.3,3885
37786,5.4,426
10501,7,858
57800,6.2,2672
150689,6.7,2374
7980,6.6,1065
12,7.6,6122
122,8.1,8064
121,8,7487
68737,5.2,957
1995,5.7,2192
157353,5.9,2295
331,5.7,2077
61791,7,4347
8204,6.3,572
47964,5.2,3493
10733,5.8,106
9806,7.4,5152
1408,5.7,136
32657,6,2010
607,6.9,4412
863,7.3,3806
44048,6.3,1165
5175,6.4,1054
2655,6.3,488
22794,6.5,1747
8355,6.5,2271
116745,7,3144
4327,5.6,1232
1422,7.9,4339
10674,7.6,2008
7446,6.5,1667
65754,7.2,2434
1572,6.9,2066
10528,7,5766
271969,5.3,621
10865,6.7,1224
258509,5.8,428
2253,6.7,1173
10661,5.5,1048
257344,5.6,2513
644,6.8,1974
10756,5.2,466
686,7.2,1308
9383,5.6,634
179,6.2,392
76285,5.9,1648
1996,5.5,1418
291805,6.7,3235
10003,5.9,302
1535,6.8,579
2067,5.7,369
46195,6.5,2166
2277,6.9,963
10357,5.2,376
4477,5.9,290
8665,6.1,264
9387,6.6,650
921,7.3,616
49852,5.4,50
4464,6.7,216
664,6.1,950
8358,7.5,3218
9836,5.9,1410
2502,7.2,2825
9772,6.2,840
161,7.2,3783
52451,5.6,924
76492,6.8,2566
4523,6.6,1449
59961,6.3,1345
10481,5.1,313
59108,5.8,932
1581,6.7,1225
9798,6.7,1240
22897,6.2,360
298,6.5,1999
7484,6.1,656
157350,6.9,4663
853,7.2,999
10159,6.4,514
9593,6.1,712
1904,7.3,652
9615,6.1,1705
51052,6.7,333
297,6.9,1147
9884,5.5,427
16858,7.3,85
62764,5.5,1114
22538,7.2,2126
9341,5.4,516
12107,4.7,332
9637,5.4,820
49049,6.6,1940
9339,6,2104
16281,6.7,226
39691,4.9,119
8247,5.9,1799
11253,6.5,1527
1949,7.3,2023
8452,5.7,595
310,6.4,3012
27578,6,2926
954,6.7,2631
70160,6.9,9455
45243,6.2,3739
364,6.6,1673
7518,6.3,1074
11544,7.1,1314
9986,5.8,288
8656,5.9,855
146216,6.4,1526
9291,6.2,785
55301,5.4,484
109418,5.8,1155
11665,6,1051
6964,6.3,410
11324,7.8,6336
12193,5.3,331
9928,6,1333
754,6.8,1583
10202,5.9,901
4147,7.3,1077
50546,6.3,1543
1701,6.5,1270
13027,6.3,1018
2289,6.7,533
20504,6.6,2164
9574,5.3,695
11618,5.2,369
2300,6.5,1288
12096,5.6,550
10200,5.2,1043
8834,6.5,431
228150,7.4,3946
6068,5.6,332
41515,5.2,220
9023,7.4,831
38317,5.3,498
2157,5,388
14462,6.2,393
161795,8,1
159824,6.7,1497
49948,7,292
2135,5.8,631
9822,5.9,208
9705,6.1,932
1656,5.9,893
12159,6.8,577
9678,5.2,438
4442,5.6,818
75,6.1,1509
330770,6.4,47
9433,6.7,349
19959,5.9,1195
11973,6.9,189
11228,5.8,378
77951,5.2,133
5491,3,255
10715,5.6,297
10197,5.1,165
9562,5.4,318
9922,6.1,299
9447,5.2,305
274854,5.7,1316
8870,5.4,267
9992,6,639
36970,7.3,111
10077,4.8,111
76649,5.2,1267
293644,5.3,9
453,7.7,3009
8587,8,5376
72545,5.8,1030
109451,6.4,915
9533,6.7,1115
2023,6.5,318
71880,4.1,604
584,6.2,2028
309809,7.6,756
4858,5.7,359
17711,3.9,87
328111,5.9,3462
8698,5.7,1155
93456,7,4637
602,6.7,3260
330,6.2,2487
953,6.6,3237
9693,7.4,2071
36657,6.8,4097
8909,6.4,2528
9802,6.9,1456
950,6.5,2951
1824,6.6,2105
2976,6.5,709
11026,4.7,183
332,4.3,318
75656,7.3,5487
38365,6,1705
594,7,1910
15189,5.7,202
11678,5.9,283
6538,6.5,338
10555,5.8,1557
1125,6.6,284
4551,5.4,292
612,6.9,696
9567,6.4,573
37821,5.7,772
203801,7.1,2265
2539,5.8,369
9297,6.3,874
3172,6.2,302
6520,5.9,311
1439,6.4,197
37958,5.7,880
2026,6.2,512
7450,6.3,313
11375,5,166
9425,6.1,221
25769,5.8,282
23685,4.3,78
11866,5.7,276
9741,6.9,1946
211672,6.4,4571
23629,5.9,1623
8688,5.8,327
10153,5.8,476
153518,5.9,1022
8676,5.4,444
20829,5.7,390
4349,6.5,513
9718,6.2,491
10808,4.9,410
197,7.7,3336
25,6.6,765
35,6.9,2264
11086,6.6,188
10477,4.5,179
1997,6.9,180
6947,6.2,1071
3050,5.4,686
2675,6.4,1599
809,6.7,2988
920,6.6,3877
4806,5.7,455
7451,5.8,1424
228165,5.8,719
3595,6.4,470
16869,7.9,6430
879,6.6,1532
1573,6.6,1896
9257,5.8,770
1903,6.5,1078
9697,5.3,409
395,5.5,1217
23398,5.4,666
10590,6.7,521
117263,6.2,2981
200,6.3,391
44943,5.5,1448
587,7.6,1994
10395,6,216
57212,7,992
152760,5.8,1523
2756,7.1,808
33909,5.8,493
49017,6.2,2389
9882,6,352
2270,7.1,1184
978,7,630
44564,5.2,304
3132,5.4,228
8814,5,609
8427,5.2,269
52520,6.1,1862
80585,6,385
10592,5.9,241
49021,6.1,695
11535,3.4,106
10550,4.3,97
11258,5.5,179
12610,5.9,228
59981,5.9,43
201088,5.1,826
5137,5.7,439
3093,4.6,180
107846,6.7,1659
188207,4.4,533
4614,5.9,437
24021,5.8,2301
11371,6.7,423
20352,7.1,6478
11517,5.4,222
214756,6.2,2463
26428,6.9,395
9824,5.7,250
48988,5.4,611
9008,7.3,481
300673,6.3,588
12113,6.5,895
38778,5.5,531
72331,5.5,1269
1844,6,602
846,6.6,488
9703,5,207
857,7.9,5048
136797,6.1,1520
3981,6.1,992
425,7.1,3857
6171,5.3,567
72976,6.7,1429
603,7.9,8907
568,7.3,1599
9021,5.5,297
82695,7.1,1884
9489,6.3,838
12133,6.5,1062
9342,6.3,1183
41733,6.2,1685
227306,7.3,1400
5551,6.3,403
9350,6.1,588
9208,5.7,453
4244,6,238
1852,5.9,447
11820,6.5,393
76493,5.9,1743
345,7.1,1234
196867,6,466
256591,6.7,2542
59962,5.9,1389
36648,5.7,1252
1880,6.4,215
9440,6.1,94
71679,5.6,1600
10483,6,1175
11412,6.5,314
11983,6,208
6795,6.1,779
550,8.3,9413
11170,6.7,186
9292,5.4,269
10783,4.9,52
100241,5,687
257,6.7,274
9947,4.8,575
189,6.3,1286
12618,5.3,63
253412,6.7,1772
1427,7.1,1165
818,5.9,979
16577,6.1,409
329,7.6,4856
12160,6.5,202
9331,6.4,386
300168,5.9,145
9072,5.3,261
3536,6.1,340
9087,6.5,195
12177,4.3,242
12138,5.8,178
273248,7.6,4274
9955,5.9,569
50359,5.5,331
1271,7,4997
693,6.1,1373
14306,6.9,1343
497,8.2,4048
11199,5.6,648
9982,5.6,944
210577,7.9,5862
2501,7.3,3583
710,6.6,1174
2275,6.1,205
37165,7.8,4537
9837,6.8,817
10708,5.6,506
136400,6.6,1589
10992,5,352
9654,6.6,1919
2642,5.9,487
8916,6,1272
19899,5.3,588
2119,5.9,353
9641,5.7,526
294254,6.4,3040
38167,5.8,636
5994,6.5,521
39514,6.6,2808
9563,6.8,422
547,6.7,292
1538,7,1451
9334,5.3,779
11128,6.2,207
75780,6.3,2998
8914,5.6,604
13576,6.7,247
39538,6.2,1325
10628,4.3,203
14836,7.3,1386
8645,4.9,950
9509,7.3,1553
10067,4.5,137
9384,5.6,644
9279,5.5,575
1487,6.5,2225
9422,6.1,109
77174,6.7,789
4824,6.1,527
9620,5.9,581
9302,5.9,50
10199,5.8,258
10771,5.3,483
3512,5.6,210
137094,5.9,1173
274479,6.4,1581
267860,5.8,1621
8078,5.9,1365
7485,6.9,1462
170687,6.6,668
6435,6.3,338
137106,7.5,3070
10040,5.3,425
6278,6,669
82682,6.2,1778
17610,4.6,524
22954,7,1125
16995,6.7,484
16558,5.7,201
9849,5.1,80
5820,5.8,225
16866,5.6,556
201,6.1,479
11775,5.8,391
87825,6.6,366
12201,6.2,487
11015,5.8,130
9932,5.7,380
13389,5.9,375
8838,6,368
17332,6.6,234
4958,6.3,251
786,7.4,797
9513,5.1,464
11679,4.7,549
38321,5.4,692
14411,6.6,372
8413,6.5,742
10052,6.1,204
9676,5.7,287
9664,6.3,271
2100,7,285
10384,4.9,109
137321,6,487
123553,6.2,1602
11260,5,371
9009,5.3,274
11374,5.7,166
2309,6,592
8285,4.7,320
210860,5.4,1055
2312,4.1,224
9839,6.7,110
381902,6,24
13922,6.8,91
293660,7.4,10995
9713,4.9,111
190859,7.4,4469
257445,6.2,995
9007,6.5,579
889,4.4,134
1370,5.7,690
4942,5.7,130
347969,4.9,388
24438,5.1,276
116741,6.1,1658
35791,5.8,1363
72431,5.9,178
1813,7.2,1374
87428,5.5,453
8840,6.4,535
10589,6,226
71676,4.7,1135
1722,5.5,145
10022,5.8,842
11358,6,381
13,8.2,7927
6477,5.5,1177
1597,6.6,1698
10530,6.7,1457
1924,6.9,1022
9327,5.4,702
8488,6.4,1665
10603,5.4,496
8273,6,1129
109424,7.6,2454
35056,5.9,1122
8839,6,1019
156022,7.1,2954
7303,5.6,485
8963,7,498
1402,7.7,2525
9315,6.1,772
8984,5.9,210
795,6.4,529
24,7.7,4949
11353,6,254
393,7.6,3948
9618,6.1,458
9374,6.3,636
8584,6.2,735
2320,5.8,256
58224,5.7,751
1729,6.3,461
175574,5.7,254
8077,6.2,1633
8818,5.9,120
8195,6.7,658
10586,6.4,236
116149,7,883
80035,5.3,881
10632,6,189
12117,6.2,146
1792,5.1,188
13260,5.4,251
72197,6.4,374
3580,7.3,1131
12123,5.3,284
9566,5.7,194
9833,7,438
4517,6.6,303
8202,5.4,703
16072,6.1,48
34314,5.2,62
19724,5.7,134
145220,6.2,316
14623,4.2,91
42297,6.9,573
2841,7.1,346
802,7.3,395
10375,5.3,123
36586,6.2,1528
11321,7.5,2039
70074,5.2,481
242,7.1,1546
9621,6.1,327
1819,5.4,407
8536,6.5,629
8046,3.5,104
1717,5.7,95
479,5.5,308
9444,7.4,1432
824,7.4,1300
11456,5.4,113
261023,6.3,1242
3683,6.7,526
22803,7.2,1486
285923,6.8,459
39437,5.9,26
1950,5.4,81
640,7.7,3795
97630,6.7,1702
9767,5.6,832
11631,6.4,1386
32856,5.7,1013
6519,5.1,316
8741,7.2,771
49520,5.9,736
1850,6.9,435
524,7.8,1307
26389,6.1,675
11817,5.1,278
2123,6.1,927
9907,5.3,225
9969,5.1,109
18239,5.6,2436
808,7.3,4056
38050,6.5,1652
8367,6.6,909
9390,6.7,913
72105,6.3,4697
2898,7.2,915
10312,7,832
109443,6,923
2022,5.6,644
37686,6.6,2435
462,7.1,716
9919,6.3,850
187017,7,3319
628,7.2,1516
10201,6.4,1813
302699,6.2,1650
9441,6.9,277
274167,5.8,854
224141,5.6,1652
388,7.3,1630
2112,6.7,548
10329,5,213
74465,6.5,909
13811,5.9,1486
6877,5.5,399
10320,5.4,632
50646,7,2443
8920,5.2,820
13673,5.2,193
60308,7,1381
6950,6.3,513
225574,6.8,2268
13836,5.5,509
752,7.7,4442
6038,6,692
9975,6.2,106
11451,5.1,542
12103,6,220
60304,5.7,3239
2251,6.3,276
46529,5.9,1567
231,6.3,451
300671,7,938
228326,7.3,755
9754,5.6,267
66,6.4,223
4421,6,395
2649,7.5,1506
588,6.3,1067
10393,6.1,203
71552,6.1,1611
9631,6.8,582
216282,5.8,817
306,5.5,434
928,6.2,652
205587,7.2,1417
6623,5.8,255
1577,6.1,1267
9801,6.1,750
2116,6.1,298
9624,4.5,104
14199,4.4,269
1907,6.3,1233
4599,5.9,189
22832,6.2,371
10390,6.3,88
9879,4.4,205
38579,5,149
44603,5.8,510
11892,6,268
9691,6,387
1248,6,654
12220,5.9,75
72710,6,1817
10782,6.2,286
9573,6.1,206
4959,6,368
10061,5.6,373
10386,7.6,1436
421,7.1,775
316152,6.6,428
11615,7.3,480
13498,5.4,120
241554,6.3,1148
2252,7.2,848
11968,5.8,458
10047,6.2,367
38319,5.2,501
69668,5.8,391
9770,5.9,81
11212,5.8,274
10533,5.5,108
38363,6.5,235
9923,6,444
11863,5.2,44
18501,5.6,760
109491,5.6,984
9275,5.9,132
329833,4.7,797
12634,5,76
10416,5.4,37
47327,5.3,600
15268,3.9,112
10796,5.7,437
9548,6.2,71
18947,7.2,666
1900,6.9,562
89,7.6,3152
96724,6.5,639
198184,6.6,3062
9481,6.5,826
4547,6.5,1267
53953,4.3,13
6415,6.6,692
181283,6.1,547
9896,6,518
167,7.1,695
11232,6,418
1636,5.6,512
2148,6.6,68
5176,6.9,1188
260346,6.1,2200
1389,6.5,333
9894,5.7,594
7504,6.6,9
8592,5.9,251
913,6.6,339
11091,6.5,103
1368,7.2,1488
593,7.7,357
5393,4.6,104
9095,5.7,74
8874,6.3,584
11467,5.5,252
320,6.8,1148
199,7,661
20533,4.4,420
10684,6.2,232
1624,6.4,1424
325789,6.6,573
113464,6.5,2
888,5,543
82675,6.1,2757
4256,5.8,912
1493,6.1,961
88751,5.8,1309
11130,6,697
9944,6.3,371
10731,6.4,278
7350,7,1111
9869,6.3,433
4379,5.6,406
146233,7.9,3085
2034,7.3,1634
926,6.9,710
4248,5.4,982
64328,6.5,501
36647,6.5,1905
7214,7.3,496
1537,5.9,299
9360,4.7,610
6282,5.8,575
508,7,1869
9487,6.8,2303
768,6.6,741
2636,5.5,313
10478,5.9,150
27983,6.2,26
9981,5.6,176
7453,6.6,1315
15045,4.3,69
7737,6.1,1292
232672,6.6,1006
17379,6.4,119
8987,6.1,210
11359,5.9,134
82525,6.2,766
9759,6.1,537
9486,6,852
9906,5.5,366
841,6.5,562
4688,7.1,410
4148,6.7,796
2207,6.2,661
9381,5.4,676
9625,4.7,100
9304,5.5,154
20856,5.3,244
5955,6.5,215
9899,6.1,151
9826,4.7,136
21355,5.8,60
10858,7.1,71
11439,6.7,670
9457,6,154
12412,6.3,90
1494,6.6,203
13184,5,332
2185,6.3,80
6639,6.4,81
38153,4,11
58233,6,1007
116977,2.3,28
68734,7.1,3423
5503,7.2,1220
27573,5.5,858
819,7.3,715
1369,6.3,864
9623,5.5,89
10895,6.9,1355
10935,6.4,55
834,6.4,1528
228066,5.6,685
711,7,302
10468,6,208
10027,6.6,518
11812,5.3,280
37233,6.6,501
37950,6.8,566
27582,6.3,1045
64688,6.7,4074
509,7,1262
7443,6.5,1150
5966,5.8,773
11066,5.4,134
136795,6.5,1575
8095,6.7,146
87826,6,593
11560,6.1,184
25189,6.5,47
2637,6.1,305
18480,5.4,518
709,5.9,541
49730,5.6,922
2749,5.7,191
9607,4,232
1830,7,1335
79,7.2,635
54054,5.3,388
228967,6.1,2304
46528,6.3,136
27936,6.8,148
65,6.8,1626
280391,5.3,125
9476,6.6,907
10610,5.3,281
745,7.7,3147
49527,6.2,925
73937,5.6,248
1885,6.9,891
168672,6.8,2807
18240,6.7,1804
10398,6.2,278
165,7.4,3829
240832,6.3,5878
216015,5.2,3254
12279,4.7,511
1645,7,509
11007,6,699
193756,7.4,1526
11287,6.7,354
259693,7,1949
37799,7.1,3391
10184,6.2,959
4257,5.3,750
4234,5.7,736
196,7.1,2900
257091,5.9,944
6114,7.1,1056
24803,6.6,560
109410,6.8,787
1213,7,767
100042,5.4,1127
9036,6.7,542
257211,7.1,1881
323675,6.1,555
9361,7.1,732
1677,7.2,467
187,7.2,2691
7461,6.2,716
16538,6.5,515
9889,5.7,731
820,7.5,502
11565,5.4,371
6073,5.8,441
16996,6.1,1350
193610,6.2,1437
19912,5.4,831
296098,7.2,2583
8007,6,457
32823,5.9,612
4380,5.9,297
11551,6.2,511
10336,5,336
11362,7.3,453
50348,7,902
48138,6.5,1265
1124,8,4391
227159,6.1,1536
68179,5.7,332
1579,7.3,1221
708,6.2,440
34851,6,1206
9930,5.8,51
1586,6.4,972
2044,6.5,670
9913,6.4,573
71864,6.5,386
10761,6,394
209451,6.8,255
11975,6.7,235
4970,5.8,629
11831,6.8,316
9096,5.8,114
440,4.9,740
11011,5.4,415
10641,5.7,135
11172,6.2,554
39513,6.5,1789
82687,5.4,284
41446,6.1,902
8224,6.1,474
10537,6.7,275
225886,5.3,1695
10385,5,40
55779,5.9,866
10154,5.3,140
10647,7,432
11431,5.9,182
8457,5.5,275
188161,5.8,1468
8850,5.4,138
64685,6.9,708
38357,6.1,412
10060,6.3,186
11398,5.6,135
1833,6.7,155
10391,4.9,71
8970,5,45
9306,4.6,147
11370,5.2,56
12184,6.4,477
1921,6.4,278
1683,5.4,205
203,7.2,345
11858,5.9,81
62835,6.5,824
18937,6.9,190
13536,5.7,92
15556,5.9,48
10718,4.7,119
11062,6,67
10802,4.9,256
1887,6.5,642
6071,5.7,81
10461,4.8,145
80278,7,2025
12704,4.2,28
10315,7.5,1176
16643,5.7,124
2687,5.7,125
194,7.8,3310
11025,5.5,185
8849,5.6,248
78698,6.6,152
30943,5.9,54
9544,3.2,105
24418,5.5,348
7288,5.9,482
14655,6.3,47
24575,5.2,21
10366,4.2,135
19898,6.5,774
4965,6.1,135
15074,5,28
56715,4.8,171
1272,7,1182
72358,6,373
20542,5.4,15
266396,5.5,392
9978,5.1,213
8271,6.6,1006
10428,6.2,398
5353,6.6,96
11934,7.1,275
14392,6.3,83
19495,4.3,17
110415,6.7,2854
77459,6.5,313
26486,5.9,15
9495,7.3,953
256040,7.5,135
24420,6.7,798
1257,5.8,191
62214,6.6,932
16320,7.4,1264
8842,4.5,32
9531,5.3,490
64807,6,433
12289,7.1,205
11529,6,394
20943,6.4,972
9099,5.5,94
9488,5.3,521
193,6.4,452
44865,6.3,273
55787,6.7,850
257932,6.8,19
10400,7.2,396
1957,6.2,264
10833,5.7,254
256961,5,567
5852,5.6,88
12312,5.5,40
622,6.3,756
11306,5.7,80
12508,6,190
25793,6.9,417
10534,6.3,86
1091,7.8,1588
87421,6.2,2035
10871,5.8,52
13503,5.4,19
13600,6.2,605
68722,7,701
14324,4.3,75
14325,7.1,71
299687,5.6,1945
312221,7.3,1915
23168,7,1468
76494,5.8,594
4944,6.5,1222
10488,5.6,330
96721,7.7,2277
334,7.5,825
23742,5.3,511
259694,5.9,1201
62837,6.7,163
8966,5.8,3561
8470,7,594
11001,6.1,352
138832,6.8,2972
16911,5.3,23
2163,6.6,198
36670,5.8,338
23048,6,894
227735,6.7,96
2155,5.4,173
222936,5.2,692
31908,6.2,40
10219,6.3,32
48171,5.8,556
782,7.5,1808
75531,4.6,14
11802,5.2,99
9776,5.3,71
18785,7.2,6173
365222,6.5,379
817,6.2,1011
268,7,2096
45054,5.9,27
943,6.4,811
22881,7.2,1597
10054,5.5,867
51540,6.5,2277
44264,7.2,1668
350,7,3088
152,6.2,530
109431,5.6,1645
1598,7,675
8065,6.5,1375
271718,5.9,1181
11638,5.5,225
409,7,542
2118,7.7,1310
11459,5.8,550
10806,6.3,177
9348,5.5,453
377,7.2,1180
8843,6,436
9313,6.3,1018
39486,6.8,103
1273,6,345
13920,6.8,141
50544,6.5,2237
325133,5.6,1462
140823,7.3,1226
1883,7.2,370
89492,5.6,896
22949,5.2,210
12437,6.2,1428
2959,5.2,253
9957,5.2,242
11648,5.8,140
9366,7.4,1147
1576,6.4,2065
609,7,794
5516,6,415
13051,5.2,613
49530,6.7,3417
34806,5.7,458
49022,5.9,296
11469,5.1,287
23479,6.9,97
11667,4.1,325
423,8,1864
2447,6.4,35
10066,5.5,677
2288,6.7,811
88794,6,741
13515,6,485
11979,5.4,239
169,5.9,730
8090,5.9,238
11622,6.3,245
3604,6.1,233
9541,5.8,325
94348,5.1,300
8197,6.3,157
336004,5.6,318
35019,6,436
10410,6.1,81
8836,5.5,523
14442,5.9,437
321741,7,823
59965,5.6,961
14175,5.2,235
11004,6.9,161
11918,4.9,379
98357,5.7,593
10012,5.1,167
49526,6.2,832
268920,5.4,647
9093,6.5,159
119283,5.7,1455
11823,6,293
35169,4.6,149
118957,5.3,191
849,5.8,129
4515,6,216
18886,5.7,31
6575,6.6,212
6440,6.4,108
13496,5.7,55
18320,7,322
22787,5.3,220
8967,6.5,987
37498,4.7,64
144336,5.5,555
9616,4.8,91
13056,5.6,294
14113,4.9,135
285783,6.9,1121
49478,4.7,9
9726,6.5,357
20763,6.6,53
9702,7.7,115
9311,6.6,60
9280,6.2,142
26843,7.4,34
11876,6.7,25
22267,6.6,49
45958,7,291
1969,5.8,307
310706,0,0
198663,7,5371
239573,5,320
10436,7,169
1381,6.8,827
2162,5.3,29
127493,5.1,344
12429,7.5,926
228205,7.3,1064
2900,5.4,254
21311,5.3,18
77875,5.4,240
192136,6.5,224
18254,7.1,67
881,7.1,877
10877,5.3,110
9600,5.6,506
202575,6.3,121
71469,4.8,469
85446,6.7,663
326,5.1,497
10685,4.9,110
7220,6.1,766
9763,6.6,238
72387,6.3,799
12596,5.7,116
1892,7.9,4665
13460,5.8,363
8055,7.2,813
50647,5.3,394
10719,6.4,987
9294,6.2,323
11888,5.3,185
9647,6.7,390
9353,5.6,359
55721,6.5,1661
109414,6.3,2359
10307,6,242
11978,7,544
22907,6,394
87567,5.7,414
38322,5.3,313
45612,7.1,2699
7305,6.7,374
3594,6.3,1018
157841,6.7,232
11519,5.6,143
12920,6.3,67
59,6.9,832
9335,6.2,1061
12106,6.3,427
11141,5.6,104
8649,6.6,225
31867,6.2,620
10253,4,104
3587,5.4,44
124459,5.3,724
24662,7.1,24
32274,7.2,18
182,5.9,86
5494,5,13
28,8,2055
38073,6,262
2054,6.9,113
302156,5.7,557
606,7,279
87502,6.5,2415
698,5.9,541
120467,8,4519
11313,6.4,131
6488,6.2,433
10559,7,462
296099,6.2,1195
8012,6.4,302
1574,6.9,677
9032,6.1,875
2770,6,1344
862,7.7,5269
1637,6.8,1783
